fonte,is_synthetic,player_id,stagione,squadra,presenze,minuti,gol,assist,xG,xA,fantamedia,rigori_battuti
fixture_sintetica_v1,True,P0001,2024/25,SQ01,15,1132,0,0,0.0,0.0,6.68,0
fixture_sintetica_v1,True,P0001,2025/26,SQ01,14,659,0,0,0.0,0.0,6.7,0
fixture_sintetica_v1,True,P0002,2024/25,SQ01,15,854,0,0,0.0,0.0,7.21,0
fixture_sintetica_v1,True,P0002,2025/26,SQ01,8,689,0,0,0.0,0.0,7.76,0
fixture_sintetica_v1,True,P0003,2024/25,SQ01,17,863,0,0,0.0,0.0,6.34,0
fixture_sintetica_v1,True,P0003,2025/26,SQ01,11,726,0,0,0.0,0.0,6.65,0
fixture_sintetica_v1,True,P0004,2024/25,SQ01,20,1139,0,0,0.0,0.0,6.57,0
fixture_sintetica_v1,True,P0004,2025/26,SQ01,21,1014,0,0,0.0,0.0,6.64,0
fixture_sintetica_v1,True,P0005,2024/25,SQ01,10,855,0,0,0.0,0.0,7.21,0
fixture_sintetica_v1,True,P0005,2025/26,SQ01,20,997,0,1,0.0,0.83,7.09,0
fixture_sintetica_v1,True,P0006,2024/25,SQ01,11,648,0,1,0.0,0.84,7.41,0
fixture_sintetica_v1,True,P0006,2025/26,SQ01,12,982,0,1,0.0,0.92,7.68,0
fixture_sintetica_v1,True,P0007,2024/25,SQ01,20,1755,0,1,0.0,1.28,7.62,0
fixture_sintetica_v1,True,P0007,2025/26,SQ01,19,1371,0,1,0.0,0.88,7.39,0
fixture_sintetica_v1,True,P0008,2024/25,SQ01,21,1104,0,0,0.0,0.0,7.45,0
fixture_sintetica_v1,True,P0008,2025/26,SQ01,5,423,0,0,0.0,0.0,6.99,0
fixture_sintetica_v1,True,P0009,2024/25,SQ01,10,791,0,0,0.0,0.0,6.0,0
fixture_sintetica_v1,True,P0009,2025/26,SQ01,10,776,0,0,0.0,0.0,6.6,0
fixture_sintetica_v1,True,P0010,2024/25,SQ01,20,948,0,1,0.0,1.12,7.91,0
fixture_sintetica_v1,True,P0010,2025/26,SQ01,6,315,0,0,0.0,0.0,7.38,0
fixture_sintetica_v1,True,P0011,2024/25,SQ01,21,1890,0,0,0.0,0.0,6.84,0
fixture_sintetica_v1,True,P0011,2025/26,SQ01,6,419,0,0,0.0,0.0,6.8,0
fixture_sintetica_v1,True,P0012,2024/25,SQ01,26,1493,0,0,0.0,0.0,7.76,0
fixture_sintetica_v1,True,P0012,2025/26,SQ01,5,240,0,0,0.0,0.0,7.79,0
fixture_sintetica_v1,True,P0013,2024/25,SQ01,15,1210,0,0,0.0,0.0,6.77,0
fixture_sintetica_v1,True,P0013,2025/26,SQ01,17,1335,0,0,0.0,0.0,6.82,0
fixture_sintetica_v1,True,P0014,2024/25,SQ01,20,1552,2,0,1.7,0.0,6.77,0
fixture_sintetica_v1,True,P0014,2025/26,SQ01,4,247,0,0,0.0,0.0,6.55,0
fixture_sintetica_v1,True,P0015,2024/25,SQ01,20,919,2,3,2.56,2.49,7.67,0
fixture_sintetica_v1,True,P0015,2025/26,SQ01,22,1475,1,4,1.18,4.94,7.86,0
fixture_sintetica_v1,True,P0016,2024/25,SQ01,9,671,0,1,0.0,0.97,7.09,0
fixture_sintetica_v1,True,P0016,2025/26,SQ01,18,1135,2,2,1.93,1.61,7.68,0
fixture_sintetica_v1,True,P0017,2024/25,SQ01,21,1707,2,0,2.37,0.0,7.25,0
fixture_sintetica_v1,True,P0017,2025/26,SQ01,13,1126,0,1,0.0,1.13,6.91,0
fixture_sintetica_v1,True,P0018,2024/25,SQ01,19,1149,0,0,0.0,0.0,6.64,0
fixture_sintetica_v1,True,P0018,2025/26,SQ01,10,613,0,0,0.0,0.0,6.35,0
fixture_sintetica_v1,True,P0019,2024/25,SQ01,15,867,0,0,0.0,0.0,7.38,0
fixture_sintetica_v1,True,P0019,2025/26,SQ01,13,601,2,2,1.9,1.65,7.54,0
fixture_sintetica_v1,True,P0020,2024/25,SQ01,15,686,0,2,0.0,1.78,7.06,0
fixture_sintetica_v1,True,P0020,2025/26,SQ01,17,1248,0,0,0.0,0.0,6.69,0
fixture_sintetica_v1,True,P0021,2024/25,SQ01,11,836,0,1,0.0,1.1,6.85,0
fixture_sintetica_v1,True,P0021,2025/26,SQ01,10,793,0,0,0.0,0.0,6.38,0
fixture_sintetica_v1,True,P0022,2024/25,SQ01,5,347,0,0,0.0,0.0,7.46,0
fixture_sintetica_v1,True,P0022,2025/26,SQ01,23,1606,1,0,1.21,0.0,7.05,0
fixture_sintetica_v1,True,P0023,2024/25,SQ01,16,1180,3,1,2.64,0.96,7.96,0
fixture_sintetica_v1,True,P0023,2025/26,SQ01,18,1227,3,1,3.53,0.9,7.91,0
fixture_sintetica_v1,True,P0024,2024/25,SQ01,11,795,0,1,0.0,1.19,6.75,0
fixture_sintetica_v1,True,P0024,2025/26,SQ01,15,1069,2,0,2.32,0.0,6.69,0
fixture_sintetica_v1,True,P0025,2024/25,SQ01,8,710,0,0,0.0,0.0,7.27,0
fixture_sintetica_v1,True,P0025,2025/26,SQ01,13,735,2,1,1.92,1.12,7.42,0
fixture_sintetica_v1,True,P0026,2024/25,SQ01,21,1808,1,0,0.92,0.0,6.54,0
