fonte,is_synthetic,player_id,nome,ruolo,squadra,quotazione_listone,data_estrazione
fixture_sintetica_v1,True,P0001,Giocatore Sintetico 1,P,SQ01,4.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0002,Giocatore Sintetico 2,P,SQ01,11.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0003,Giocatore Sintetico 3,P,SQ01,6.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0004,Giocatore Sintetico 4,P,SQ01,8.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0005,Giocatore Sintetico 5,D,SQ01,7.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0006,Giocatore Sintetico 6,D,SQ01,2.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0007,Giocatore Sintetico 7,D,SQ01,31.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0008,Giocatore Sintetico 8,D,SQ01,13.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0009,Giocatore Sintetico 9,D,SQ01,14.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0010,Giocatore Sintetico 10,D,SQ01,18.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0011,Giocatore Sintetico 11,D,SQ01,25.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0012,Giocatore Sintetico 12,D,SQ01,29.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0013,Giocatore Sintetico 13,D,SQ01,10.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0014,Giocatore Sintetico 14,C,SQ01,59.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0015,Giocatore Sintetico 15,C,SQ01,42.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0016,Giocatore Sintetico 16,C,SQ01,20.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0017,Giocatore Sintetico 17,C,SQ01,32.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0018,Giocatore Sintetico 18,C,SQ01,42.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0019,Giocatore Sintetico 19,C,SQ01,27.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0020,Giocatore Sintetico 20,C,SQ01,8.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0021,Giocatore Sintetico 21,C,SQ01,38.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0022,Giocatore Sintetico 22,C,SQ01,11.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0023,Giocatore Sintetico 23,A,SQ01,53.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0024,Giocatore Sintetico 24,A,SQ01,59.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0025,Giocatore Sintetico 25,A,SQ01,44.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0026,Giocatore Sintetico 26,A,SQ01,26.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0027,Giocatore Sintetico 27,A,SQ01,53.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0028,Giocatore Sintetico 28,A,SQ01,48.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0029,Giocatore Sintetico 29,A,SQ01,53.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0030,Giocatore Sintetico 30,A,SQ01,55.0,2026-08-25 00:00:00+00:00
fixture_sintetica_v1,True,P0031,Giocatore Sintetico 31,P,SQ02,13.0,2026-08-25 00:00:00+00:00
